transaction_id,date,product,region,quantity,unit_price,total_amount
1001,2026-01-01,Phone,North,7,583.46,4084.22
1002,2026-01-02,Headphones,South,7,918.49,6429.43
1003,2026-01-03,Monitor,West,7,1085.93,7601.51
1004,2026-01-04,Laptop,North,4,870.42,3481.68
1005,2026-01-05,Laptop,West,2,1156.59,2313.18
1006,2026-01-06,Laptop,East,6,942.77,5656.62
1007,2026-01-07,Laptop,East,6,1042.83,6256.98
1008,2026-01-08,Laptop,South,7,154.64,1082.48
1009,2026-01-09,Keyboard,West,5,884.25,4421.25
1010,2026-01-10,Headphones,North,1,539.3,539.3
1011,2026-01-11,Monitor,South,4,672.66,2690.64
1012,2026-01-12,Keyboard,South,4,791.84,3167.36
1013,2026-01-13,Monitor,South,6,1164.38,6986.28
1014,2026-01-14,Phone,South,3,1181.8,3545.4
1015,2026-01-15,Phone,North,3,360.11,1080.33
1016,2026-01-16,Monitor,North,1,885.83,885.83
1017,2026-01-17,Phone,North,6,904.98,5429.88
1018,2026-01-18,Laptop,East,6,428.86,2573.16
1019,2026-01-19,Keyboard,South,1,166.17,166.17
1020,2026-01-20,Keyboard,East,4,68.32,273.28
1021,2026-01-21,Monitor,East,4,937.26,3749.04
1022,2026-01-22,Monitor,East,4,597.85,2391.4
1023,2026-01-23,Laptop,East,7,1182.94,8280.58
1024,2026-01-24,Keyboard,East,2,568.67,1137.34
1025,2026-01-25,Monitor,East,3,1173.94,3521.82
1026,2026-01-26,Keyboard,East,2,505.66,1011.32
1027,2026-01-27,Keyboard,East,2,956.54,1913.08
1028,2026-01-28,Monitor,South,7,120.09,840.63
1029,2026-01-29,Tablet,North,7,675.44,4728.08
1030,2026-01-30,Laptop,West,1,966.43,966.43
1031,2026-01-31,Tablet,South,5,1111.15,5555.75
1032,2026-02-01,Phone,East,2,990.65,1981.3
1033,2026-02-02,Laptop,North,2,63.63,127.26
1034,2026-02-03,Laptop,South,3,459.79,1379.37
1035,2026-02-04,Keyboard,East,2,77.46,154.92
1036,2026-02-05,Headphones,East,4,148.95,595.8
1037,2026-02-06,Headphones,East,7,816.86,5718.02
1038,2026-02-07,Keyboard,South,5,861.64,4308.2
1039,2026-02-08,Headphones,West,6,932.99,5597.94
1040,2026-02-09,Headphones,East,4,1041.24,4164.96
1041,2026-02-10,Laptop,West,1,892.53,892.53
1042,2026-02-11,Monitor,East,1,965.03,965.03
1043,2026-02-12,Tablet,East,2,77.78,155.56
1044,2026-02-13,Laptop,West,2,296.75,593.5
1045,2026-02-14,Keyboard,North,6,753.84,4523.04
1046,2026-02-15,Keyboard,West,6,1032.59,6195.54
1047,2026-02-16,Laptop,West,6,25.31,151.86
1048,2026-02-17,Phone,East,5,627.26,3136.3
1049,2026-02-18,Laptop,East,4,819.2,3276.8
1050,2026-02-19,Phone,East,5,54.94,274.7
1051,2026-02-20,Laptop,South,3,493.6,1480.8
1052,2026-02-21,Keyboard,West,5,1076.85,5384.25
1053,2026-02-22,Headphones,North,6,812.5,4875.0
1054,2026-02-23,Monitor,South,6,300.44,1802.64
1055,2026-02-24,Keyboard,East,5,1026.28,5131.4
1056,2026-02-25,Headphones,West,1,430.68,430.68
1057,2026-02-26,Headphones,South,6,1026.95,6161.7
1058,2026-02-27,Laptop,South,3,372.75,1118.25
1059,2026-02-28,Laptop,North,6,716.58,4299.48
1060,2026-03-01,Headphones,North,4,488.39,1953.56
1061,2026-03-02,Laptop,North,7,344.29,2410.03
1062,2026-03-03,Laptop,North,3,1066.14,3198.42
1063,2026-03-04,Phone,West,7,241.36,1689.52
1064,2026-03-05,Monitor,West,6,120.08,720.48
1065,2026-03-06,Tablet,West,3,423.47,1270.41
1066,2026-03-07,Keyboard,North,4,866.81,3467.24
1067,2026-03-08,Tablet,North,4,972.77,3891.08
1068,2026-03-09,Phone,South,6,1198.52,7191.12
1069,2026-03-10,Tablet,East,5,369.71,1848.55
1070,2026-03-11,Laptop,South,6,501.37,3008.22
1071,2026-03-12,Keyboard,South,3,181.45,544.35
1072,2026-03-13,Phone,North,4,698.35,2793.4
1073,2026-03-14,Tablet,East,4,1197.14,4788.56
1074,2026-03-15,Monitor,South,7,847.04,5929.28
1075,2026-03-16,Headphones,North,3,722.35,2167.05
1076,2026-03-17,Tablet,East,5,483.0,2415.0
1077,2026-03-18,Headphones,West,1,1100.05,1100.05
1078,2026-03-19,Keyboard,North,6,606.36,3638.16
1079,2026-03-20,Phone,South,3,178.55,535.65
1080,2026-03-21,Headphones,West,3,451.15,1353.45
1081,2026-03-22,Monitor,East,5,99.26,496.3
